stopid,route,stopname,corner,pole,single_spinny,double_spinny,flag,shelter
49,MCPHERSON SQ - ADAMS MORGAN - WOODLEY PARK ROUTE,24th Street NW/Calvert Rd,northeast,upole,N,N,Y,no
1,UNION STATION - NAVY YARD ROUTE,Union Station -  Mezzanine Level of Parking Deck,,,,,N,
110,UNION STATION - NAVY YARD ROUTE,Mssachusetts Ave/1st St. NE (Columbus Circle),southwest,black,N,Y,Y,No
111,UNION STATION - NAVY YARD ROUTE,Louisiana Ave NW/D Street NE,southeast,black,Y,N,Y,no
66,UNION STATION - NAVY YARD ROUTE,Maryland Ave NE/1st Street (U.S. Capitol),northwest ,upole,N,N,Y,no
112,UNION STATION - NAVY YARD ROUTE,Independence Ave. SE/2nd Street ,southwest,upole,N,N,Y,no
134,UNION STATION - NAVY YARD ROUTE,Pennsylvania Ave. SE/5th Street,,,,,,
113,UNION STATION - NAVY YARD ROUTE,Pennsylvania Ave. SE/8th Street,southwest,black,Y,N,Y,NEWx2
114,UNION STATION - NAVY YARD ROUTE,8th Street SE/G Street,northwest,lightple,N,N,Y,no
115,UNION STATION - NAVY YARD ROUTE,8th Street SE/L Street ,northwest,black,Y,N,Y,NEW
116,UNION STATION - NAVY YARD ROUTE,M Street SE/Issac Hall St (Navy Yard Entrance),northeast,black,Y,N,Y,NEW
117,UNION STATION - NAVY YARD ROUTE,M Street SE/4th Street,northeast,black,Y,N,Y,OLD
135,UNION STATION - NAVY YARD ROUTE,M Street SE/NJ Ave. (stop on M St.),northwest,black,Y,N,Y,NEW
118,UNION STATION - NAVY YARD ROUTE,1st Street SE/K Street,southeast,black,Y,N,Y,no
119,NAVY YARD - UNION STATION ROUTE,New Jersey Ave. SE/M Street (stop on NJ Ave.),northwest,black,Y,N,Y,NEW
120,NAVY YARD - UNION STATION ROUTE,M Street SE/4th Street ,southwest,lightpole,N,N,Y,no
121,NAVY YARD - UNION STATION ROUTE,M Street SE/Issac Hall St (Navy Yard Entrance),southeast,upole,N,N,Y,no
122,NAVY YARD - UNION STATION ROUTE,8th Street SE/L Street ,northeast,black,Y,N,Y,NEW
123,NAVY YARD - UNION STATION ROUTE,8th Street SE/G Street ,southeast,black,Y,N,Y,no
124,NAVY YARD - UNION STATION ROUTE,Pennsylvania Ave. SE/7th Street ,northeast,black,Y,N,Y,NEW
150,NAVY YARD - UNION STATION ROUTE,Pennsylvania Ave. SE/5th Street ,,,,,,
125,NAVY YARD - UNION STATION ROUTE,Pennsylvania Ave. SE/3rd Street ,northeast,none,N,N,Y,NEW
126,NAVY YARD - UNION STATION ROUTE,Maryland Ave NE/1st Street (Supreme Court),southeast,upole,N,N,Y,no
127,NAVY YARD - UNION STATION ROUTE,Louisiana Ave Nw/D Street NW ,northeast,upole,N,N,Y,no
136,ROSSLYN GEORGETOWN DUPONT ROUTE,Rosslyn,,,,,,
137,ROSSLYN GEORGETOWN DUPONT ROUTE,M Street NW/34th St.,southeast,lightpole,N,N,?,no
138,ROSSLYN GEORGETOWN DUPONT ROUTE,M Street NW/32nd St.,southeast,lightpole,N,N,?,no
31,ROSSLYN GEORGETOWN DUPONT ROUTE,M Street NW/between Wisconsin Ave & 31st St.,midblock _south,lightpole,N,N,Y,no
32,ROSSLYN GEORGETOWN DUPONT ROUTE,M Street NW/Thomas Jefferson,southwest,lightpole,N,N,Y,no
33,ROSSLYN GEORGETOWN DUPONT ROUTE,Pennsylvania Avenue NW/29th Street,In front of 4 Seasons Hotel,lightpole,N,N,Y,no
139,ROSSLYN GEORGETOWN DUPONT ROUTE,L Street NW/24th St.,northeast,U-pole,N,N,?,no
140,ROSSLYN GEORGETOWN DUPONT ROUTE,L Street NW/New Hampshire Ave.,northeast,U-pole,N,N,Y,no
141,ROSSLYN GEORGETOWN DUPONT ROUTE,19th Street NW/N St.,northwest,lightpole,N,N,?,N
142,DUPONT GEORGETOWN ROSSLYN ROUTE,19th Street NW/N St.,northwest,lightpole,N,N,?,No
143,DUPONT GEORGETOWN ROSSLYN ROUTE,M Street NW/New Hampshire Ave.,,lightpole,N,N,Y,No
144,DUPONT GEORGETOWN ROSSLYN ROUTE,M Street NW/24th St.,northeast,traffic signal pole,N,N,?,No
145,DUPONT GEORGETOWN ROSSLYN ROUTE,M Street  NW/27th St.,midblock _ north,?,?,?,?,No
146,DUPONT GEORGETOWN ROSSLYN ROUTE,M Street NW/30th St. ,northwest ,lightpole,N,N,Y,No
147,DUPONT GEORGETOWN ROSSLYN ROUTE,M Street NW/31st St.,midblock _ north,lightpole,N,N,Y,No
148,DUPONT GEORGETOWN ROSSLYN ROUTE,M Street NW/Wisconsin Ave.,northwest,lightpole,N,N,?,No
149,DUPONT GEORGETOWN ROSSLYN ROUTE,M Street NW/33rd St.,northeast,lightpole,N,N,?,No
136,DUPONT GEORGETOWN ROSSLYN ROUTE,Rosslyn,,,,,,
